group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parallel tasks,,,,,3014345769.0,ns,1
Parallel tasks,,,,,3127457211.0,ns,1
Parallel tasks,,,,,3040462796.0,ns,1
Parallel tasks,,,,,3034243960.0,ns,1
Parallel tasks,,,,,2968417875.0,ns,1
Parallel tasks,,,,,3066774497.0,ns,1
Parallel tasks,,,,,2966432065.0,ns,1
Parallel tasks,,,,,3027707424.0,ns,1
Parallel tasks,,,,,2980982967.0,ns,1
Parallel tasks,,,,,3150474855.0,ns,1
Parallel tasks,,,,,3021549797.0,ns,1
Parallel tasks,,,,,3141678459.0,ns,1
Parallel tasks,,,,,3101921895.0,ns,1
Parallel tasks,,,,,3029045654.0,ns,1
Parallel tasks,,,,,3095970168.0,ns,1
Parallel tasks,,,,,3021687432.0,ns,1
Parallel tasks,,,,,2978216562.0,ns,1
Parallel tasks,,,,,2974041653.0,ns,1
Parallel tasks,,,,,2951514997.0,ns,1
Parallel tasks,,,,,2947227203.0,ns,1
Parallel tasks,,,,,2959043680.0,ns,1
Parallel tasks,,,,,3009209472.0,ns,1
Parallel tasks,,,,,2941823643.0,ns,1
Parallel tasks,,,,,2954947473.0,ns,1
Parallel tasks,,,,,2974989925.0,ns,1
Parallel tasks,,,,,2962782078.0,ns,1
Parallel tasks,,,,,2984400210.0,ns,1
Parallel tasks,,,,,2954587207.0,ns,1
Parallel tasks,,,,,2956868330.0,ns,1
Parallel tasks,,,,,2958091537.0,ns,1
Parallel tasks,,,,,3101746380.0,ns,1
Parallel tasks,,,,,3376997278.0,ns,1
Parallel tasks,,,,,3315232405.0,ns,1
Parallel tasks,,,,,3283708173.0,ns,1
Parallel tasks,,,,,3282838279.0,ns,1
Parallel tasks,,,,,3269650229.0,ns,1
Parallel tasks,,,,,3312378870.0,ns,1
Parallel tasks,,,,,3283752604.0,ns,1
Parallel tasks,,,,,3315351262.0,ns,1
Parallel tasks,,,,,3304654096.0,ns,1
Parallel tasks,,,,,3292911962.0,ns,1
Parallel tasks,,,,,3254334558.0,ns,1
Parallel tasks,,,,,3244735577.0,ns,1
Parallel tasks,,,,,3246735930.0,ns,1
Parallel tasks,,,,,3313015724.0,ns,1
Parallel tasks,,,,,3330452233.0,ns,1
Parallel tasks,,,,,3343219482.0,ns,1
Parallel tasks,,,,,3223619335.0,ns,1
Parallel tasks,,,,,3257633377.0,ns,1
Parallel tasks,,,,,3218759379.0,ns,1
Parallel tasks,,,,,2960805221.0,ns,1
Parallel tasks,,,,,2951533049.0,ns,1
Parallel tasks,,,,,3019785633.0,ns,1
Parallel tasks,,,,,3158820091.0,ns,1
Parallel tasks,,,,,3075870108.0,ns,1
Parallel tasks,,,,,3023088719.0,ns,1
Parallel tasks,,,,,3242648337.0,ns,1
Parallel tasks,,,,,3161685400.0,ns,1
Parallel tasks,,,,,3075727633.0,ns,1
Parallel tasks,,,,,3033960127.0,ns,1
Parallel tasks,,,,,2958464262.0,ns,1
Parallel tasks,,,,,2950524128.0,ns,1
Parallel tasks,,,,,2948761130.0,ns,1
Parallel tasks,,,,,3049545467.0,ns,1
Parallel tasks,,,,,2987163266.0,ns,1
Parallel tasks,,,,,2956549639.0,ns,1
Parallel tasks,,,,,2938647702.0,ns,1
Parallel tasks,,,,,2953606846.0,ns,1
Parallel tasks,,,,,2990438585.0,ns,1
Parallel tasks,,,,,3041062834.0,ns,1
Parallel tasks,,,,,3001076966.0,ns,1
Parallel tasks,,,,,2926399648.0,ns,1
Parallel tasks,,,,,2924678695.0,ns,1
Parallel tasks,,,,,2930217037.0,ns,1
Parallel tasks,,,,,2955660820.0,ns,1
Parallel tasks,,,,,3017436890.0,ns,1
Parallel tasks,,,,,3100796241.0,ns,1
Parallel tasks,,,,,2981700762.0,ns,1
Parallel tasks,,,,,2932161488.0,ns,1
Parallel tasks,,,,,2939843678.0,ns,1
Parallel tasks,,,,,2920282167.0,ns,1
Parallel tasks,,,,,2913378597.0,ns,1
Parallel tasks,,,,,2974117273.0,ns,1
Parallel tasks,,,,,2930324739.0,ns,1
Parallel tasks,,,,,2919662066.0,ns,1
Parallel tasks,,,,,2917447612.0,ns,1
Parallel tasks,,,,,3062655768.0,ns,1
Parallel tasks,,,,,3293269883.0,ns,1
Parallel tasks,,,,,3091857251.0,ns,1
Parallel tasks,,,,,2943967619.0,ns,1
Parallel tasks,,,,,2915978294.0,ns,1
Parallel tasks,,,,,2914622171.0,ns,1
Parallel tasks,,,,,2923010962.0,ns,1
Parallel tasks,,,,,2919991396.0,ns,1
Parallel tasks,,,,,2920719054.0,ns,1
Parallel tasks,,,,,2917799888.0,ns,1
Parallel tasks,,,,,2919377318.0,ns,1
Parallel tasks,,,,,2912500901.0,ns,1
Parallel tasks,,,,,2952610530.0,ns,1
Parallel tasks,,,,,2926736347.0,ns,1
